Record_ID,Year,Paper,Row_Number,Source_Raw_Mark_or_Label,B1_Value,B2_Value,Other_Result,Source_File,Source_Region,Original_Row_Text,Visual_Confidence,Verification_Status,Notes
2024_1B_001,2024,Paper 1B,1,0,0,0,,2024.JPG,Paper 1B table (bottom),0 | 0,High,Verified,
2024_1B_017,2024,Paper 1B,17,16,16,5,,2024.JPG,Paper 1B table (bottom),16 | 5,High,Verified,
2024_1B_018,2024,Paper 1B,18,17,17,5,,2024.JPG,Paper 1B table (bottom),17 | 5,High,Verified,
2024_1B_019,2024,Paper 1B,19,18,18,5,,2024.JPG,Paper 1B table (bottom),18 | 5,High,Verified,
2024_1B_020,2024,Paper 1B,20,19,19,6,,2024.JPG,Paper 1B table (bottom),19 | 6,High,Verified,
2024_1B_021,2024,Paper 1B,21,20,20,6,,2024.JPG,Paper 1B table (bottom),20 | 6,High,Verified,
2024_1B_022,2024,Paper 1B,22,21,21,6,,2024.JPG,Paper 1B table (bottom),21 | 6,High,Verified,
2024_1B_023,2024,Paper 1B,23,22,22,7,,2024.JPG,Paper 1B table (bottom),22 | 7,High,Verified,
2024_1B_024,2024,Paper 1B,24,23,23,7,,2024.JPG,Paper 1B table (bottom),23 | 7,High,Verified,
2024_1B_025,2024,Paper 1B,25,24,24,8,,2024.JPG,Paper 1B table (bottom),24 | 8,High,Verified,
2024_1B_026,2024,Paper 1B,26,25,25,8,,2024.JPG,Paper 1B table (bottom),25 | 8,High,Verified,
2024_1B_027,2024,Paper 1B,27,26,26,9,,2024.JPG,Paper 1B table (bottom),26 | 9,High,Verified,
2024_1B_028,2024,Paper 1B,28,27,27,9,,2024.JPG,Paper 1B table (bottom),27 | 9,High,Verified,
2024_1B_029,2024,Paper 1B,29,28,28,10,,2024.JPG,Paper 1B table (bottom),28 | 10,High,Verified,
2024_1B_030,2024,Paper 1B,30,29,29,10,,2024.JPG,Paper 1B table (bottom),29 | 10,High,Verified,
2024_1B_031,2024,Paper 1B,31,30,30,11,,2024.JPG,Paper 1B table (bottom),30 | 11,High,Verified,
2024_1B_032,2024,Paper 1B,32,31,31,12,,2024.JPG,Paper 1B table (bottom),31 | 12,High,Verified,
2024_1B_033,2024,Paper 1B,33,32,32,13,,2024.JPG,Paper 1B table (bottom),32 | 13,High,Verified,
2024_1B_034,2024,Paper 1B,34,33,33,14,,2024.JPG,Paper 1B table (bottom),33 | 14,High,Verified,
2024_1B_035,2024,Paper 1B,35,34,34,16,,2024.JPG,Paper 1B table (bottom),34 | 16,High,Verified,
2024_1B_036,2024,Paper 1B,36,35,35,18,,2024.JPG,Paper 1B table (bottom),35 | 18,High,Verified,
2024_1B_037,2024,Paper 1B,37,36,36,20,,2024.JPG,Paper 1B table (bottom),36 | 20,High,Verified,
2024_1B_038,2024,Paper 1B,38,37,37,23,,2024.JPG,Paper 1B table (bottom),37 | 23,High,Verified,
2024_1B_039,2024,Paper 1B,39,38,38,27,,2024.JPG,Paper 1B table (bottom),38 | 27,High,Verified,
2024_1B_040,2024,Paper 1B,40,39,39,32,,2024.JPG,Paper 1B table (bottom),39 | 32,High,Verified,
2024_1B_041,2024,Paper 1B,41,40,40,37,,2024.JPG,Paper 1B table (bottom),40 | 37,High,Verified,
2024_1B_042,2024,Paper 1B,42,41,41,41,,2024.JPG,Paper 1B table (bottom),41 | 41,High,Verified,
2024_1B_043,2024,Paper 1B,43,42,42,42,,2024.JPG,Paper 1B table (bottom),42 | 42,High,Verified,
2024_3B_001,2024,Paper 3B,1,0,0,0,,2024.JPG,Paper 3B table (middle),0 | 0,High,Verified,
2024_3B_002,2024,Paper 3B,2,1,1,0,,2024.JPG,Paper 3B table (middle),1 | 0,High,Verified,
2024_3B_003,2024,Paper 3B,3,2,2,0,,2024.JPG,Paper 3B table (middle),2 | 0,High,Verified,
2024_3B_004,2024,Paper 3B,4,3,3,1,,2024.JPG,Paper 3B table (middle),3 | 1,High,Verified,
2024_3B_005,2024,Paper 3B,5,4,4,1,,2024.JPG,Paper 3B table (middle),4 | 1,High,Verified,
2024_3B_006,2024,Paper 3B,6,5,5,1,,2024.JPG,Paper 3B table (middle),5 | 1,High,Verified,
2024_3B_007,2024,Paper 3B,7,6,6,1,,2024.JPG,Paper 3B table (middle),6 | 1,High,Verified,
2024_3B_008,2024,Paper 3B,8,7,7,1,,2024.JPG,Paper 3B table (middle),7 | 1,High,Verified,
2024_3B_009,2024,Paper 3B,9,8,8,1,,2024.JPG,Paper 3B table (middle),8 | 1,High,Verified,
2024_3B_010,2024,Paper 3B,10,9,9,1,,2024.JPG,Paper 3B table (middle),9 | 1,High,Verified,
2024_3B_011,2024,Paper 3B,11,10,10,1,,2024.JPG,Paper 3B table (middle),10 | 1,High,Verified,
2024_3B_012,2024,Paper 3B,12,11,11,2,,2024.JPG,Paper 3B table (middle),11 | 2,High,Verified,
2024_3B_013,2024,Paper 3B,13,12,12,2,,2024.JPG,Paper 3B table (middle),12 | 2,High,Verified,
2024_3B_014,2024,Paper 3B,14,13,13,2,,2024.JPG,Paper 3B table (middle),13 | 2,High,Verified,
2024_3B_015,2024,Paper 3B,15,14,14,2,,2024.JPG,Paper 3B table (middle),14 | 2,High,Verified,
2024_3B_016,2024,Paper 3B,16,15,15,2,,2024.JPG,Paper 3B table (middle),15 | 2,High,Verified,
2024_3B_017,2024,Paper 3B,17,16,16,2,,2024.JPG,Paper 3B table (middle),16 | 2,High,Verified,
2024_3B_018,2024,Paper 3B,18,17,17,3,,2024.JPG,Paper 3B table (middle),17 | 3,High,Verified,
2024_3B_019,2024,Paper 3B,19,18,18,3,,2024.JPG,Paper 3B table (middle),18 | 3,High,Verified,
2024_3B_020,2024,Paper 3B,20,19,19,3,,2024.JPG,Paper 3B table (middle),19 | 3,High,Verified,
2024_3B_021,2024,Paper 3B,21,20,20,3,,2024.JPG,Paper 3B table (middle),20 | 3,High,Verified,
2024_3B_022,2024,Paper 3B,22,21,21,4,,2024.JPG,Paper 3B table (middle),21 | 4,High,Verified,
2024_3B_023,2024,Paper 3B,23,22,22,4,,2024.JPG,Paper 3B table (middle),22 | 4,High,Verified,
2024_3B_024,2024,Paper 3B,24,23,23,4,,2024.JPG,Paper 3B table (middle),23 | 4,High,Verified,
2024_3B_025,2024,Paper 3B,25,24,24,5,,2024.JPG,Paper 3B table (middle),24 | 5,High,Verified,
2024_3B_026,2024,Paper 3B,26,25,25,5,,2024.JPG,Paper 3B table (middle),25 | 5,High,Verified,
2024_3B_027,2024,Paper 3B,27,26,26,6,,2024.JPG,Paper 3B table (middle),26 | 6,High,Verified,
2024_3B_028,2024,Paper 3B,28,27,27,6,,2024.JPG,Paper 3B table (middle),27 | 6,High,Verified,
2024_3B_029,2024,Paper 3B,29,28,28,7,,2024.JPG,Paper 3B table (middle),28 | 7,High,Verified,
2024_3B_030,2024,Paper 3B,30,29,29,7,,2024.JPG,Paper 3B table (middle),29 | 7,High,Verified,
2024_3B_031,2024,Paper 3B,31,30,30,8,,2024.JPG,Paper 3B table (middle),30 | 8,High,Verified,
2024_3B_032,2024,Paper 3B,32,31,31,9,,2024.JPG,Paper 3B table (middle),31 | 9,High,Verified,
2024_3B_033,2024,Paper 3B,33,32,32,10,,2024.JPG,Paper 3B table (middle),32 | 10,High,Verified,
2024_3B_034,2024,Paper 3B,34,33,33,11,,2024.JPG,Paper 3B table (middle),33 | 11,High,Verified,
2024_3B_035,2024,Paper 3B,35,34,34,12,,2024.JPG,Paper 3B table (middle),34 | 12,High,Verified,
2024_3B_036,2024,Paper 3B,36,35,35,13,,2024.JPG,Paper 3B table (middle),35 | 13,High,Verified,
2024_3B_037,2024,Paper 3B,37,36,36,14,,2024.JPG,Paper 3B table (middle),36 | 14,High,Verified,
2024_3B_038,2024,Paper 3B,38,37,37,15,,2024.JPG,Paper 3B table (middle),37 | 15,High,Verified,
2024_3B_039,2024,Paper 3B,39,38,38,16,,2024.JPG,Paper 3B table (middle),38 | 16,High,Verified,
2024_3B_040,2024,Paper 3B,40,39,39,17,,2024.JPG,Paper 3B table (middle),39 | 17,High,Verified,
2024_3B_041,2024,Paper 3B,41,40,40,19,,2024.JPG,Paper 3B table (middle),40 | 19,High,Verified,
2024_3B_042,2024,Paper 3B,42,41,41,20,,2024.JPG,Paper 3B table (middle),41 | 20,High,Verified,
2024_3B_043,2024,Paper 3B,43,42,42,21,,2024.JPG,Paper 3B table (middle),42 | 21,High,Verified,
2024_3B_044,2024,Paper 3B,44,43,43,23,,2024.JPG,Paper 3B table (top right),43 | 23,High,Verified,
2024_3B_045,2024,Paper 3B,45,44,44,24,,2024.JPG,Paper 3B table (top right),44 | 24,High,Verified,
2024_3B_046,2024,Paper 3B,46,45,45,26,,2024.JPG,Paper 3B table (top right),45 | 26,High,Verified,
2024_3B_047,2024,Paper 3B,47,46,46,28,,2024.JPG,Paper 3B table (top right),46 | 28,High,Verified,
2024_3B_048,2024,Paper 3B,48,47,47,30,,2024.JPG,Paper 3B table (top right),47 | 30,High,Verified,
2024_3B_049,2024,Paper 3B,49,48,48,32,,2024.JPG,Paper 3B table (top right),48 | 32,High,Verified,
2024_3B_050,2024,Paper 3B,50,49,49,35,,2024.JPG,Paper 3B table (top right),49 | 35,High,Verified,
2024_3B_051,2024,Paper 3B,51,50,50,38,,2024.JPG,Paper 3B table (top right),50 | 38,High,Verified,
2024_3B_052,2024,Paper 3B,52,51,51,41,,2024.JPG,Paper 3B table (top right),51 | 41,High,Verified,
2024_3B_053,2024,Paper 3B,53,52,52,44,,2024.JPG,Paper 3B table (top right),52 | 44,High,Verified,
2024_3B_054,2024,Paper 3B,54,53,53,47,,2024.JPG,Paper 3B table (top right),53 | 47,High,Verified,
