Record_ID,Year,Paper,Row_Number,Source_Raw_Mark_or_Label,B1_Value,B2_Value,Other_Result,Source_File,Source_Region,Original_Row_Text,Visual_Confidence,Verification_Status,Notes
2025_1B_00,2025,1B,1,0,0,0,,2025.JPG,Paper 1B Table,0 | 0,High,Verified,
2025_1B_34,2025,1B,35,34,34,15,,2025.JPG,Paper 1B Table,34 | 15,High,Verified,
2025_1B_35,2025,1B,36,35,35,17,,2025.JPG,Paper 1B Table,35 | 17,High,Verified,
2025_1B_36,2025,1B,37,36,36,19,,2025.JPG,Paper 1B Table,36 | 19,High,Verified,
2025_1B_37,2025,1B,38,37,37,21,,2025.JPG,Paper 1B Table,37 | 21,High,Verified,
2025_1B_38,2025,1B,39,38,38,24,,2025.JPG,Paper 1B Table,38 | 24,High,Verified,
2025_1B_39,2025,1B,40,39,39,27,,2025.JPG,Paper 1B Table,39 | 27,High,Verified,
2025_1B_40,2025,1B,41,40,40,30,,2025.JPG,Paper 1B Table,40 | 30,High,Verified,
2025_1B_41,2025,1B,42,41,41,34,,2025.JPG,Paper 1B Table,41 | 34,High,Verified,
2025_1B_42,2025,1B,43,42,42,38,,2025.JPG,Paper 1B Table,42 | 38,High,Verified,
2025_3B_00,2025,3B,1,0,0,0,,2025.JPG,Paper 3B Table (Part 1),0 | 0,High,Verified,
2025_3B_01,2025,3B,2,1,1,1,,2025.JPG,Paper 3B Table (Part 1),1 | 1,High,Verified,
2025_3B_02,2025,3B,3,2,2,2,,2025.JPG,Paper 3B Table (Part 1),2 | 2,High,Verified,
2025_3B_03,2025,3B,4,3,3,2,,2025.JPG,Paper 3B Table (Part 1),3 | 2,High,Verified,
2025_3B_04,2025,3B,5,4,4,3,,2025.JPG,Paper 3B Table (Part 1),4 | 3,High,Verified,
2025_3B_05,2025,3B,6,5,5,3,,2025.JPG,Paper 3B Table (Part 1),5 | 3,High,Verified,
2025_3B_06,2025,3B,7,6,6,3,,2025.JPG,Paper 3B Table (Part 1),6 | 3,High,Verified,
2025_3B_07,2025,3B,8,7,7,4,,2025.JPG,Paper 3B Table (Part 1),7 | 4,High,Verified,
2025_3B_08,2025,3B,9,8,8,4,,2025.JPG,Paper 3B Table (Part 1),8 | 4,High,Verified,
2025_3B_09,2025,3B,10,9,9,4,,2025.JPG,Paper 3B Table (Part 1),9 | 4,High,Verified,
2025_3B_10,2025,3B,11,10,10,5,,2025.JPG,Paper 3B Table (Part 1),10 | 5,High,Verified,
2025_3B_11,2025,3B,12,11,11,5,,2025.JPG,Paper 3B Table (Part 1),11 | 5,High,Verified,
2025_3B_12,2025,3B,13,12,12,5,,2025.JPG,Paper 3B Table (Part 1),12 | 5,High,Verified,
2025_3B_13,2025,3B,14,13,13,6,,2025.JPG,Paper 3B Table (Part 1),13 | 6,High,Verified,
2025_3B_14,2025,3B,15,14,14,6,,2025.JPG,Paper 3B Table (Part 1),14 | 6,High,Verified,
2025_3B_15,2025,3B,16,15,15,6,,2025.JPG,Paper 3B Table (Part 1),15 | 6,High,Verified,
2025_3B_16,2025,3B,17,16,16,6,,2025.JPG,Paper 3B Table (Part 1),16 | 6,High,Verified,
2025_3B_17,2025,3B,18,17,17,7,,2025.JPG,Paper 3B Table (Part 1),17 | 7,High,Verified,
2025_3B_18,2025,3B,19,18,18,7,,2025.JPG,Paper 3B Table (Part 1),18 | 7,High,Verified,
2025_3B_19,2025,3B,20,19,19,7,,2025.JPG,Paper 3B Table (Part 1),19 | 7,High,Verified,
2025_3B_20,2025,3B,21,20,20,8,,2025.JPG,Paper 3B Table (Part 1),20 | 8,High,Verified,
2025_3B_21,2025,3B,22,21,21,8,,2025.JPG,Paper 3B Table (Part 1),21 | 8,High,Verified,
2025_3B_22,2025,3B,23,22,22,9,,2025.JPG,Paper 3B Table (Part 1),22 | 9,High,Verified,
2025_3B_23,2025,3B,24,23,23,9,,2025.JPG,Paper 3B Table (Part 1),23 | 9,High,Verified,
2025_3B_24,2025,3B,25,24,24,10,,2025.JPG,Paper 3B Table (Part 1),24 | 10,High,Verified,
2025_3B_25,2025,3B,26,25,25,10,,2025.JPG,Paper 3B Table (Part 1),25 | 10,High,Verified,
2025_3B_26,2025,3B,27,26,26,10,,2025.JPG,Paper 3B Table (Part 1),26 | 10,High,Verified,
2025_3B_27,2025,3B,28,27,27,11,,2025.JPG,Paper 3B Table (Part 1),27 | 11,High,Verified,
2025_3B_28,2025,3B,29,28,28,11,,2025.JPG,Paper 3B Table (Part 1),28 | 11,High,Verified,
2025_3B_29,2025,3B,30,29,29,12,,2025.JPG,Paper 3B Table (Part 1),29 | 12,High,Verified,
2025_3B_30,2025,3B,31,30,30,12,,2025.JPG,Paper 3B Table (Part 1),30 | 12,High,Verified,
2025_3B_31,2025,3B,32,31,31,13,,2025.JPG,Paper 3B Table (Part 1),31 | 13,High,Verified,
2025_3B_32,2025,3B,33,32,32,14,,2025.JPG,Paper 3B Table (Part 1),32 | 14,High,Verified,
2025_3B_33,2025,3B,34,33,33,14,,2025.JPG,Paper 3B Table (Part 1),33 | 14,High,Verified,
2025_3B_34,2025,3B,35,34,34,15,,2025.JPG,Paper 3B Table (Part 1),34 | 15,High,Verified,
2025_3B_35,2025,3B,36,35,35,15,,2025.JPG,Paper 3B Table (Part 1),35 | 15,High,Verified,
2025_3B_36,2025,3B,37,36,36,16,,2025.JPG,Paper 3B Table (Part 1),36 | 16,High,Verified,
2025_3B_37,2025,3B,38,37,37,17,,2025.JPG,Paper 3B Table (Part 1),37 | 17,High,Verified,
2025_3B_38,2025,3B,39,38,38,17,,2025.JPG,Paper 3B Table (Part 1),38 | 17,High,Verified,
2025_3B_39,2025,3B,40,39,39,18,,2025.JPG,Paper 3B Table (Part 1),39 | 18,High,Verified,
2025_3B_40,2025,3B,41,40,40,19,,2025.JPG,Paper 3B Table (Part 1),40 | 19,High,Verified,
2025_3B_41,2025,3B,42,41,41,20,,2025.JPG,Paper 3B Table (Part 1),41 | 20,High,Verified,
2025_3B_42,2025,3B,43,42,42,22,,2025.JPG,Paper 3B Table (Part 1),42 | 22,High,Verified,
2025_3B_43,2025,3B,1,43,43,23,,2025.JPG,Paper 3B Table (Part 2),43 | 23,High,Verified,
2025_3B_44,2025,3B,2,44,44,24,,2025.JPG,Paper 3B Table (Part 2),44 | 24,High,Verified,
2025_3B_45,2025,3B,3,45,45,25,,2025.JPG,Paper 3B Table (Part 2),45 | 25,High,Verified,
2025_3B_46,2025,3B,4,46,46,26,,2025.JPG,Paper 3B Table (Part 2),46 | 26,High,Verified,
2025_3B_47,2025,3B,5,47,47,28,,2025.JPG,Paper 3B Table (Part 2),47 | 28,High,Verified,
2025_3B_48,2025,3B,6,48,48,30,,2025.JPG,Paper 3B Table (Part 2),48 | 30,High,Verified,
2025_3B_49,2025,3B,7,49,49,33,,2025.JPG,Paper 3B Table (Part 2),49 | 33,High,Verified,
2025_3B_50,2025,3B,8,50,50,36,,2025.JPG,Paper 3B Table (Part 2),50 | 36,High,Verified,
2025_3B_51,2025,3B,9,51,51,39,,2025.JPG,Paper 3B Table (Part 2),51 | 39,High,Verified,
2025_3B_52,2025,3B,10,52,52,43,,2025.JPG,Paper 3B Table (Part 2),52 | 43,High,Verified,
2025_3B_53,2025,3B,11,53,53,47,,2025.JPG,Paper 3B Table (Part 2),53 | 47,High,Verified,
